show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Movie Title 1,David Fincher,"Actor A, Actor B, Actor C",United States,"November 24, 2020",1988,G,97 min,Stand-Up Comedy,Description for Movie Title 1.
s2,TV Show,Show Title 2,Jordan Peele,"Actor A, Actor B, Actor C",South Korea,"January 25, 2016",2001,UR,1 Season,"Anime Series, Kids' TV, Docuseries",Description for Show Title 2.
s3,Movie,Movie Title 3,Christopher Nolan,"Actor A, Actor B, Actor C","United States, Nigeria","July 3, 2021",2005,TV-PG,112 min,"Stand-Up Comedy, Music & Musicals, Thrillers",Description for Movie Title 3.
s4,TV Show,Show Title 4,Martin Scorsese,"Actor A, Actor B, Actor C",Mexico,"March 12, 2020",2001,TV-MA,4 Seasons,"Docuseries, Korean TV Shows, British TV Shows",Description for Show Title 4.
s5,Movie,Movie Title 5,,"Actor A, Actor B, Actor C",Australia,"January 8, 2016",1987,TV-MA,53 min,"Horror Movies, International Movies",Description for Movie Title 5.
s6,Movie,Movie Title 6,Quentin Tarantino,"Actor A, Actor B, Actor C",Brazil,"September 18, 2015",1991,UR,91 min,"Horror Movies, Stand-Up Comedy, Sports Movies",Description for Movie Title 6.
s7,Movie,Movie Title 7,,"Actor A, Actor B, Actor C",Japan,"July 20, 2013",2000,PG-13,123 min,"International Movies, Children & Family Movies, Dramas",Description for Movie Title 7.
s8,Movie,Movie Title 8,Denis Villeneuve,"Actor A, Actor B, Actor C","United States, Germany","September 4, 2020",2021,PG-13,105 min,"Music & Musicals, Independent Movies",Description for Movie Title 8.
s9,Movie,Movie Title 9,,"Actor A, Actor B, Actor C",United States,"May 8, 2021",1960,PG,103 min,"Comedies, Sports Movies, Sci-Fi & Fantasy",Description for Movie Title 9.
s10,Movie,Movie Title 10,Denis Villeneuve,"Actor A, Actor B, Actor C",United States,"September 25, 2015",2000,UR,86 min,Sci-Fi & Fantasy,Description for Movie Title 10.
s11,Movie,Movie Title 11,Bong Joon-ho,"Actor A, Actor B, Actor C",United States,"February 23, 2015",1988,TV-MA,158 min,Comedies,Description for Movie Title 11.
s12,Movie,Movie Title 12,Spike Lee,"Actor A, Actor B, Actor C",Canada,"August 26, 2015",2007,R,121 min,Comedies,Description for Movie Title 12.
s13,TV Show,Show Title 13,Bong Joon-ho,"Actor A, Actor B, Actor C",United States,"April 7, 2021",1995,TV-MA,1 Season,"TV Comedies, Anime Series",Description for Show Title 13.
s14,Movie,Movie Title 14,Guillermo del Toro,"Actor A, Actor B, Actor C",,"April 6, 2021",2021,PG,95 min,"Documentaries, Music & Musicals",Description for Movie Title 14.
s15,TV Show,Show Title 15,,"Actor A, Actor B, Actor C",United States,"November 23, 2020",2013,TV-PG,1 Season,Docuseries,Description for Show Title 15.
